activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,RVDPPPGHCGZ40J4VQ731,40140,CA,6065,6065045226,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,2,0,2,1,32,1,2,2,2,245000,59.99,4.875,0.06,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,46,49,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,2,,,,,10,,,,6528,96.61,87400,100,2498,2637,15
2022,RVDPPPGHCGZ40J4VQ731,99999,FL,12107,12107950900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,1,1,2,2,2,305000,96.5,4.75,0.289,2,13662.28,NA,4180.32,4180.32,,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,71,50%-60%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,6134,41.1,60700,82,1653,2566,48
2022,RVDPPPGHCGZ40J4VQ731,12580,MD,24510,24510260101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,32,1,2,2,2,195000,67.86,5.375,0.703,2,8400.46,NA,3426.7,2412.7,,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,45,43,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,3,,,,,10,,,,4671,78.4,116100,73,1117,1415,70
2022,RVDPPPGHCGZ40J4VQ731,35614,NJ,34017,34017004300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,695000,90,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,755000,1,1,3,5,3,NA,148,48,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,2,1,6,,,,,9,,,,2503,82.66,99000,53,253,713,80
2022,RVDPPPGHCGZ40J4VQ731,38060,AZ,4013,4013812300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,1,1,2,2,2,345000,80,5.625,0.744,2,10143.95,NA,1014,,729.75,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,92,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,3,,,,,10,,,,4961,43.94,88800,167,1021,1322,17
2022,RVDPPPGHCGZ40J4VQ731,99999,NY,36105,36105951000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,32,1,2,2,2,225000,62.86,6.375,0.636,3,9656.55,NA,4732.15,1188,37.5,360,NA,NA,2,2,2,2,355000,1,2,3,5,1,NA,278,30%-<36%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,2,,,,,10,,,,2315,51.66,76700,92,419,1664,37
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36081,36081058000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,0,2,2,1,1,2,2,2,625000,95,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,655000,1,1,3,5,1,NA,84,>60%,9,3,2,,,,,2,,,,,1,2,2,,,,,2,,,,,1,2,1,1,1,2,<25,25-34,No,No,2,1,6,,,,,1,,,,3589,98.33,99000,130,811,1098,71
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36079,36079011100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,665000,90,7.25,1.084,2,23042.4,NA,19394.89,3820.61,329.5,360,NA,NA,2,2,2,2,735000,1,1,3,5,1,NA,190,45,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,35-44,25-34,No,No,2,1,1,,,,,10,,,,5113,24.64,99000,155,1693,1850,60
2022,RVDPPPGHCGZ40J4VQ731,35004,NY,36103,36103201009,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,31,1,2,2,1,225000,22.5,6.625,0.878,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1005000,1,3,3,5,1,NA,133,20%-<30%,3,10,14,1,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,1,,,,,10,,,,5369,45.41,146400,74,1189,2845,42
2022,RVDPPPGHCGZ40J4VQ731,45060,NY,36067,36067016100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,195000,95,5.875,0.315,2,6506.16,NA,3864,,1835.4,360,NA,NA,2,2,2,2,205000,1,1,3,5,1,NA,80,36,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,,,,,10,,,,2478,30.06,91100,128,653,766,40
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36087,36087011603,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,32,1,2,2,1,505000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,3,3,5,1,NA,150,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,6,,,,,10,,,,6069,29.15,99000,168,1379,1676,49
2022,RVDPPPGHCGZ40J4VQ731,13780,NY,36107,36107020600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,32,1,2,2,2,85000,51.47,6,1.138,2,7035.05,NA,2507.11,58.76,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,31,20%-<30%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,2,1,3,,,,,10,,,,6787,7.56,76400,96,2428,3206,47
2022,RVDPPPGHCGZ40J4VQ731,12060,GA,13067,13067031220,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,1,1,2,1,1,1,2,2,2,325000,97,5.56,0.42,2,9973.62,NA,7086.67,,3242.61,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,100,20%-<30%,3,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,2878,59.1,95700,133,443,739,33
2022,RVDPPPGHCGZ40J4VQ731,29180,LA,22055,22055001700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,1,125000,80,6.625,1.247,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,165000,1,3,3,5,1,NA,121,20%-<30%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,10,,,,6064,19.1,74900,136,2736,3010,51
2022,RVDPPPGHCGZ40J4VQ731,37100,CA,6111,6111001102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,555000,80,5.624,0.085,2,5478.8,NA,1926.8,838.8,57.8,360,NA,NA,2,2,2,2,695000,1,1,3,5,1,NA,125,45,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,25-34,No,No,2,1,1,,,,,10,,,,3657,32.46,115400,112,994,1353,52
2022,RVDPPPGHCGZ40J4VQ731,37100,CA,6111,6111008002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,435000,58.11,5.124,-0.351,2,8218.5,NA,4205.5,,3152.5,360,NA,NA,2,2,2,2,745000,1,1,3,5,1,NA,176,20%-<30%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,2,,,,,10,,,,4712,52.46,115400,69,954,1464,52
2022,RVDPPPGHCGZ40J4VQ731,37100,CA,6111,6111007508,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,355000,75,5.624,0.116,2,5508.38,NA,1308.88,220.88,70.3,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,116,38,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,1,,,,,10,,,,3696,36.93,115400,94,944,1530,44
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36119,36119008403,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,635000,80,5.999,0.107,2,10041,NA,2011.15,,159.8,360,NA,NA,2,2,2,2,795000,1,1,3,5,2,NA,200,50%-60%,1,9,2,,,,,2,,,,,1,2,5,,,,,6,,,,,1,2,1,3,1,2,35-44,65-74,No,Yes,2,1,1,,,,,10,,,,3883,36.72,99000,153,677,1230,64
2022,RVDPPPGHCGZ40J4VQ731,22220,AR,5007,5007021001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,1,2,2,2,1,1,2,2,2,195000,85.46,5.25,0.442,2,7701.98,NA,1776.8,1017.66,,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,42,50%-60%,2,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,3,,,,,10,,,,5265,21.25,83700,66,1345,2148,27
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36119,36119014805,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,2,2,2,705000,50.91,6.625,-0.267,2,12961.99,NA,8070,7056,125,360,NA,NA,2,2,2,2,1375000,1,1,3,5,1,NA,218,49,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,,,,,10,,,,4449,23.38,99000,213,1315,1476,57
2022,RVDPPPGHCGZ40J4VQ731,35004,NY,36103,36103169701,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,2,2,1,1,2,2,2,495000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,102,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,6,,,,,10,,,,7731,15.77,146400,135,2873,3498,41
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029004601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,31,1,2,2,2,115000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,2,NA,41,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,NA,2,1,6,,,,,10,,,,3394,51.21,87700,78,612,1380,0
2022,RVDPPPGHCGZ40J4VQ731,35004,NY,36059,36059404902,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,32,1,2,2,2,385000,58.46,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,655000,1,1,3,5,1,NA,81,50%-60%,9,2,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,2,1,6,,,,,1,,,,4363,92.51,146400,94,1084,1275,64
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029014208,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,305000,85,5.99,0.197,2,3372.86,NA,1101.51,87.51,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,145,36,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,2,1,1,,,,,10,,,,7058,9.68,87700,164,2172,2542,21
2022,RVDPPPGHCGZ40J4VQ731,99999,CO,8045,8045952100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,135000,22.61,5.999,0.369,3,5472.35,NA,3468.3,,2059.2,360,NA,NA,2,2,2,2,575000,1,2,3,5,1,NA,82,20%-<30%,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,2,1,1,,,,,10,,,,7284,32.02,82500,95,1806,2390,28
2022,RVDPPPGHCGZ40J4VQ731,35154,NJ,34029,34029713402,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,2,2,1,1,2,2,2,395000,96.5,5.875,0.13,2,19493.15,NA,7877.68,6863.68,2,360,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,94,50%-60%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,10,,,,3849,26.76,128300,102,793,1112,47
2022,RVDPPPGHCGZ40J4VQ731,24860,SC,45045,45045002821,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,2,2,32,1,2,2,2,285000,78.89,5.125,0.251,2,14830.88,NA,7267.6,1777.17,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,102,42,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,6556,29.7,80300,123,1424,1864,15
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029010103,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,125000,90,5.75,0.005,2,3060.75,NA,1229.25,367.92,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,66,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,2,,,,,10,,,,3864,16.61,87700,81,1493,1859,69
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36087,36087012107,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,535000,90,6.625,0.062,2,19936.39,NA,14602.5,,7772.95,360,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,107,45,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,2,1,1,,,,,10,,,,5463,7.25,99000,42,377,489,17
2022,RVDPPPGHCGZ40J4VQ731,99999,NY,36041,36041950300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,2,265000,80,5.875,0.125,2,11259.26,NA,5602.08,322.08,76.4,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,370,<20%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,1363,7.12,76700,118,319,1942,52
2022,RVDPPPGHCGZ40J4VQ731,15804,NJ,34005,34005702810,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,2,2,1,1,2,2,2,305000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,81,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,1371,84.83,112900,74,447,543,54
2022,RVDPPPGHCGZ40J4VQ731,40140,CA,6071,6071009719,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,2,32,1,2,2,2,215000,55.39,5.375,0.753,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,45,50%-60%,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,25-34,No,No,2,1,3,,,,,10,,,,3276,48.23,87400,134,615,972,31
2022,RVDPPPGHCGZ40J4VQ731,35004,NY,36059,36059415000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,445000,80,6.625,-0.166,2,11507.63,NA,7039.6,6025.6,1122,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,149,44,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,5948,24.61,146400,109,1768,1943,67
2022,RVDPPPGHCGZ40J4VQ731,25540,CT,9003,9003405500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,1,165000,60,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,285000,1,3,3,5,2,NA,38,50%-60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,6,,,,,1,,,,5266,31.39,113200,78,1394,1943,56
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029006601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,395000,85,6.375,0.477,2,6448.62,NA,2679.92,1665.92,,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,157,37,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,2,,,,,10,,,,2498,42.43,87700,82,442,1210,0
2022,RVDPPPGHCGZ40J4VQ731,35004,NY,36103,36103145905,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,3,32,1,2,2,2,395000,78.23,6.625,0.361,2,19946.52,NA,6188.02,6188.02,750,360,NA,NA,2,2,2,2,515000,1,1,3,5,1,NA,71,50%-60%,1,10,12,1,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,2,1,1,,,,,10,,,,4543,85.74,146400,70,667,1019,53
2022,RVDPPPGHCGZ40J4VQ731,35614,NJ,34017,34017005801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,395000,85,6.375,0.018,2,16668.67,NA,11382.53,,4339.53,360,NA,NA,2,2,2,2,465000,1,1,3,5,2,NA,83,48,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,2,,,,,10,,,,5569,96.1,99000,52,586,1561,66
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36081,36081015200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,2,2,2,1,1,2,2,2,365000,84.71,5.625,0.742,2,19874.68,NA,6083.59,5069.59,205.09,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,94,48,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,25-34,9999,No,NA,2,1,3,,,,,10,,,,2638,96.17,99000,75,393,716,0
2022,RVDPPPGHCGZ40J4VQ731,37340,FL,12009,12009071352,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,2,1,1,1,2,2,1,265000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,3,3,5,1,NA,92,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,3751,33.19,82300,82,1220,1754,29
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029007305,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,335000,90,6.125,0.27,2,4334.9,NA,2129.55,1115.55,,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,145,47,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,,,,,10,,,,2637,9.86,87700,137,991,1070,50
2022,RVDPPPGHCGZ40J4VQ731,19124,TX,48085,48085030307,NC,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,2,3,1,1,2,2,2,1205000,88,5.5,-0.361,2,36509.76,NA,10884.62,,,360,NA,NA,2,2,2,2,1345000,1,1,3,5,1,NA,269,49,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,35-44,No,No,2,1,1,,,,,10,,,,12663,27.74,97400,160,3283,3636,12
2022,RVDPPPGHCGZ40J4VQ731,47664,MI,26125,26125175200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,4,0,2,1,1,1,2,2,1,125000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,3,3,5,2,NA,426,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,3821,27.01,102800,42,1004,1769,65
2022,RVDPPPGHCGZ40J4VQ731,15380,NY,36029,36029000800,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,1,1,2,2,2,125000,96.5,6.375,0.772,2,6179.45,NA,1014,,754.88,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,75,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,4636,17.52,87700,108,1192,1914,0
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36081,36081103201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,2,1,1,2,2,2,635000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,2,NA,108,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,6,,,,,10,,,,6986,97.31,99000,63,299,980,60
2022,RVDPPPGHCGZ40J4VQ731,33460,MN,27139,27139080305,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,165000,30.45,5.999,0.145,2,4706.9,NA,3314,,1694.52,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,191,<20%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,2,,,,,10,,,,6931,28.78,117800,108,1757,2171,21
2022,RVDPPPGHCGZ40J4VQ731,22220,AR,5143,5143010113,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,1,1,2,1,1,1,2,2,1,185000,75,6.624,0.899,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,255000,1,3,3,5,1,NA,90,46,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,6955,19.02,83700,141,2093,2676,25
2022,RVDPPPGHCGZ40J4VQ731,35154,NJ,34029,34029738001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,715000,35.75,6.375,0.487,3,15155.89,NA,8564.4,7550.4,,360,NA,NA,2,2,2,2,2005000,1,2,3,5,1,NA,355,47,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,2,,,,,10,,,,2198,5.91,128300,88,1012,5914,51
2022,RVDPPPGHCGZ40J4VQ731,35154,NJ,34029,34029717400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,805000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,183,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,6,,,,,10,,,,5978,25.71,128300,109,1929,2429,42
2022,RVDPPPGHCGZ40J4VQ731,35614,NY,36085,36085018901,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,345000,57.05,6.125,-0.837,2,8245.73,NA,4842,,3852.36,360,NA,NA,2,2,2,2,615000,1,1,3,5,1,NA,142,20%-<30%,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,5725,35.49,99000,147,1212,1831,59
